dataset_id	id	acceptedNameUsage	acceptedNameUsageID	accessRights	aphiaid	areas	associatedMedia	associatedOccurrences	associatedOrganisms	associatedReferences	associatedSequences	associatedTaxa	basisOfRecord	bathymetry	bed	behavior	bibliographicCitation	brackish	caste	catalogNumber	class	classid	collectionCode	collectionID	continent	coordinatePrecision	coordinateUncertaintyInMeters	country	countryCode	county	cultivarEpithet	dataGeneralizations	datasetID	datasetName	dateIdentified	date_end	date_mid	date_start	date_year	day	decimalLatitude	decimalLongitude	degreeOfEstablishment	depth	disposition	division	divisionid	domain	domainid	dynamicProperties	earliestAgeOrLowestStage	earliestEonOrLowestEonothem	earliestEpochOrLowestSeries	earliestEraOrLowestErathem	earliestPeriodOrLowestSystem	endDayOfYear	establishmentMeans	eventDate	eventID	eventRemarks	eventTime	eventType	family	familyid	fieldNotes	fieldNumber	footprintSRS	footprintSpatialFit	footprintWKT	forma	formaid	formation	genericName	genus	genusid	geodeticDatum	geologicalContextID	georeferenceProtocol	georeferenceRemarks	georeferenceSources	georeferenceVerificationStatus	georeferencedBy	georeferencedDate	gigaclass	gigaclassid	group	hab	habitat	higherClassification	higherGeography	higherGeographyID	highestBiostratigraphicZone	identificationID	identificationQualifier	identificationReferences	identificationRemarks	identificationVerificationStatus	identifiedBy	identifiedByID	individualCount	informationWithheld	infraclass	infraclassid	infragenericEpithet	infrakingdom	infrakingdomid	infraorder	infraorderid	infraphylum	infraphylumid	infraspecificEpithet	institutionCode	institutionID	island	islandGroup	kingdom	kingdomid	language	latestAgeOrHighestStage	latestEonOrHighestEonothem	latestEpochOrHighestSeries	latestEraOrHighestErathem	latestPeriodOrHighestSystem	license	lifeStage	lithostratigraphicTerms	locality	locationAccordingTo	locationID	locationRemarks	lowestBiostratigraphicZone	marine	materialEntityID	materialEntityRemarks	materialSampleID	maximumDepthInMeters	maximumDistanceAboveSurfaceInMeters	maximumElevationInMeters	megaclass	megaclassid	member	minimumDepthInMeters	minimumDistanceAboveSurfaceInMeters	minimumElevationInMeters	modified	month	municipality	nameAccordingTo	nameAccordingToID	namePublishedIn	namePublishedInID	namePublishedInYear	nomenclaturalCode	nomenclaturalStatus	occurrenceID	occurrenceRemarks	occurrenceStatus	order	orderid	organismID	organismName	organismQuantity	organismQuantityType	organismRemarks	organismScope	originalNameUsage	originalNameUsageID	otherCatalogNumbers	ownerInstitutionCode	parentEventID	parentNameUsage	parentNameUsageID	parvorder	parvorderid	parvphylum	parvphylumid	pathway	phylum	phylum_division	phylum_divisionid	phylumid	pointRadiusSpatialFit	preparations	previousIdentifications	recordNumber	recordedBy	recordedByID	redlist_category	references	reproductiveCondition	rightsHolder	sampleSizeUnit	sampleSizeValue	samplingEffort	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	section	sectionid	sex	shoredistance	species	speciesid	specificEpithet	sss	sst	startDayOfYear	stateProvince	subclass	subclassid	subdivision	subdivisionid	subfamily	subfamilyid	subforma	subformaid	subgenus	subgenusid	subkingdom	subkingdomid	suborder	suborderid	subphylum	subphylum_subdivision	subphylum_subdivisionid	subphylumid	subsection	subsectionid	subspecies	subspeciesid	subterclass	subterclassid	subtribe	subtribeid	subvariety	subvarietyid	superclass	superclassid	superdomain	superdomainid	superfamily	superfamilyid	superorder	superorderid	supertribe	supertribeid	taxonConceptID	taxonID	taxonRank	taxonRemarks	taxonomicStatus	tribe	tribeid	type	typeStatus	unaccepted	variety	varietyid	verbatimCoordinateSystem	verbatimCoordinates	verbatimDepth	verbatimElevation	verbatimEventDate	verbatimIdentification	verbatimLabel	verbatimLatitude	verbatimLocality	verbatimLongitude	verbatimSRS	verbatimTaxonRank	vernacularName	verticalDatum	vitality	waterBody	wrims	year	originalScientificName	flags	dropped	absence
31f00d1e-d833-446d-b3bd-924574dbb9e1	8588f115-6278-4149-a0cf-2cd01b3b4d71				344003	[8, 9, 40040]							HumanObservation	-310.33							Aves	1836					200.0	Australia								808358400000	808358400000	808358400000	1995		-14.6667	145.4667		0.0														1995-08-14					Laridae	136988					POINT (145.46670 -14.66670)					Anous	206812																																		Gnathostomata	1828						Animalia	2										LIZARD ISLAND (N.PT)					true				0.0			Tetrapoda	1831		0.0			2021-05-05T12:29:07										GBR-seabirds-2473		present	Charadriiformes	2682			66	individuals															Chordata			1821															Anous minutus		urn:lsid:marinespecies.org:taxname:344003				-837.0	Anous minutus	344003		34.93	26.45																	Vertebrata			146419											Reptilia	1838											Species																						Black Noddy (=wcn:white-capped nodd						Anous minutus	[DEPTH_EXCEEDS_BATH, ON_LAND]	false	false
31f00d1e-d833-446d-b3bd-924574dbb9e1	7a0d59a4-11fc-48be-8606-5e05710b00a3				344003	[8, 9, 20154, 40040, 34364]							HumanObservation	3.35							Aves	1836					200.0	Australia								457920000000	457920000000	457920000000	1984		-14.4	144.9		0.0														1984-07-06					Laridae	136988					POINT (144.90000 -14.40000)					Anous	206812																																		Gnathostomata	1828						Animalia	2										COMBE ISLET					true				0.0			Tetrapoda	1831		0.0			2021-05-05T12:30:07										GBR-seabirds-2808		present	Charadriiformes	2682			1	individuals															Chordata			1821															Anous minutus		urn:lsid:marinespecies.org:taxname:344003				53.0	Anous minutus	344003		34.94	26.28																	Vertebrata			146419											Reptilia	1838											Species																						Black Noddy (=wcn:white-capped nodd						Anous minutus	[]	false	false
31f00d1e-d833-446d-b3bd-924574dbb9e1	eb4f6cf3-983d-4a1d-943a-0a3c433989cd				344003	[8, 9, 20154, 40040, 34364]							HumanObservation	30.89							Aves	1836					200.0	Australia								745113600000	745113600000	745113600000	1993		-11.2333	142.9833		0.0														1993-08-12					Laridae	136988					POINT (142.98330 -11.23330)					Anous	206812																																		Gnathostomata	1828						Animalia	2										DOUGLAS ISLET					true				0.0			Tetrapoda	1831		0.0			2021-05-05T12:23:04										GBR-seabirds-490		present	Charadriiformes	2682			1500	individuals															Chordata			1821															Anous minutus		urn:lsid:marinespecies.org:taxname:344003				18245.0	Anous minutus	344003		34.85	27.14																	Vertebrata			146419											Reptilia	1838											Species																						Black Noddy (=wcn:white-capped nodd						Anous minutus	[]	false	false
31f00d1e-d833-446d-b3bd-924574dbb9e1	0f3f4ccc-34f8-4daa-a692-5837e536f250				344003	[8, 9, 20154, 40040, 34364]							HumanObservation	4.9							Aves	1836					200.0	Australia								754185600000	754185600000	754185600000	1993		-13.9833	144.5		0.0														1993-11-25					Laridae	136988					POINT (144.50000 -13.98330)					Anous	206812																																		Gnathostomata	1828						Animalia	2										TYDEMAN CAY					true				0.0			Tetrapoda	1831		0.0			2021-05-05T12:24:08										GBR-seabirds-827		present	Charadriiformes	2682			140	individuals															Chordata			1821															Anous minutus		urn:lsid:marinespecies.org:taxname:344003				303.0	Anous minutus	344003		34.9	26.62																	Vertebrata			146419											Reptilia	1838											Species																						Black Noddy (=wcn:white-capped nodd						Anous minutus	[]	false	false
31f00d1e-d833-446d-b3bd-924574dbb9e1	d5d09348-1944-4687-a330-b0dcf124bd1e				344003	[8, 9, 20154, 40040, 34364]							HumanObservation	10.87							Aves	1836					200.0	Australia								597196800000	597196800000	597196800000	1988		-13.9167	143.8333		0.0														1988-12-04					Laridae	136988					POINT (143.83330 -13.91670)					Anous	206812																																		Gnathostomata	1828						Animalia	2										PELICAN ISLAND					true				0.0			Tetrapoda	1831		0.0			2021-05-05T12:25:08										GBR-seabirds-1163		present	Charadriiformes	2682			513	individuals															Chordata			1821															Anous minutus		urn:lsid:marinespecies.org:taxname:344003				572.0	Anous minutus	344003		35.03	26.66																	Vertebrata			146419											Reptilia	1838											Species																						Black Noddy (=wcn:white-capped nodd						Anous minutus	[]	false	false
31f00d1e-d833-446d-b3bd-924574dbb9e1	9b8a3bb4-ce39-4f94-9f13-ad6d54d2f4f7				344003	[8, 9, 20154, 40040, 34364]							HumanObservation	296.54							Aves	1836					200.0	Australia								784684800000	784684800000	784684800000	1994		-11.6	144.0167		0.0														1994-11-13					Laridae	136988					POINT (144.01670 -11.60000)					Anous	206812																																		Gnathostomata	1828						Animalia	2										RAINE ISLAND					true				0.0			Tetrapoda	1831		0.0			2021-05-05T12:28:15										GBR-seabirds-2171		present	Charadriiformes	2682			279	individuals															Chordata			1821															Anous minutus		urn:lsid:marinespecies.org:taxname:344003				67727.0	Anous minutus	344003		34.8	27.05																	Vertebrata			146419											Reptilia	1838											Species																						Black Noddy (=wcn:white-capped nodd						Anous minutus	[]	false	false
31f00d1e-d833-446d-b3bd-924574dbb9e1	38f58eda-fe55-46db-8867-93cb66e526e0				344003	[8, 9, 20154, 40040, 34364]							HumanObservation	29.58							Aves	1836					200.0	Australia								772761600000	772761600000	772761600000	1994		-14.7	145.4667		0.0														1994-06-28					Laridae	136988					POINT (145.46670 -14.70000)					Anous	206812																																		Gnathostomata	1828						Animalia	2										SEABIRD ISLAND					true				0.0			Tetrapoda	1831		0.0			2021-05-05T12:29:10										GBR-seabirds-2492		present	Charadriiformes	2682			90	individuals															Chordata			1821															Anous minutus		urn:lsid:marinespecies.org:taxname:344003				826.0	Anous minutus	344003		34.93	26.45																	Vertebrata			146419											Reptilia	1838											Species																						Black Noddy (=wcn:white-capped nodd						Anous minutus	[]	false	false
31f00d1e-d833-446d-b3bd-924574dbb9e1	b963be53-96ec-4d38-9362-eeb8d2ca7b79				344003	[8, 9, 40040]							HumanObservation	-10.7							Aves	1836					200.0	Australia								799459200000	799459200000	799459200000	1995		-11.7667	143.0833		0.0														1995-05-03					Laridae	136988					POINT (143.08330 -11.76670)					Anous	206812																																		Gnathostomata	1828						Animalia	2										BIRD ISLAND (NORTH)					true				0.0			Tetrapoda	1831		0.0			2021-05-05T12:30:12										GBR-seabirds-2835		present	Charadriiformes	2682			100	individuals															Chordata			1821															Anous minutus		urn:lsid:marinespecies.org:taxname:344003				14012.0	Anous minutus	344003		34.94	26.97																	Vertebrata			146419											Reptilia	1838											Species																						Black Noddy (=wcn:white-capped nodd						Anous minutus	[]	false	false
31f00d1e-d833-446d-b3bd-924574dbb9e1	20a63426-518c-4c62-bf89-bac2785ce263				344003	[8, 9, 40040]							HumanObservation	-10.7							Aves	1836					200.0	Australia								800150400000	800150400000	800150400000	1995		-11.7667	143.0833		0.0														1995-05-11					Laridae	136988					POINT (143.08330 -11.76670)					Anous	206812																																		Gnathostomata	1828						Animalia	2										BIRD ISLAND (NORTH)					true				0.0			Tetrapoda	1831		0.0			2021-05-05T12:30:13										GBR-seabirds-2838		present	Charadriiformes	2682			8000	individuals															Chordata			1821															Anous minutus		urn:lsid:marinespecies.org:taxname:344003				14012.0	Anous minutus	344003		34.94	26.97																	Vertebrata			146419											Reptilia	1838											Species																						Black Noddy (=wcn:white-capped nodd						Anous minutus	[]	false	false
31f00d1e-d833-446d-b3bd-924574dbb9e1	ede8c8c2-4a24-47a7-9c69-029db5ff5a2c				344003	[8, 9, 20154, 40040, 34364]							HumanObservation	30.85							Aves	1836					200.0	Australia								660787200000	660787200000	660787200000	1990		-11.3833	143.05		0.0														1990-12-10					Laridae	136988					POINT (143.05000 -11.38330)					Anous	206812																																		Gnathostomata	1828						Animalia	2										CHOLMONDELEY IS					true				0.0			Tetrapoda	1831		0.0			2021-05-05T12:23:08										GBR-seabirds-507		present	Charadriiformes	2682			1	individuals															Chordata			1821															Anous minutus		urn:lsid:marinespecies.org:taxname:344003				19730.0	Anous minutus	344003		34.88	27.09																	Vertebrata			146419											Reptilia	1838											Species																						Black Noddy (=wcn:white-capped nodd						Anous minutus	[]	false	false
